INDICATIVO;INDSINOP;NOMBRE;PROVINCIA;LATITUD;LONGITUD;ALTURA
1387E;8002;A CORUÑA AEROPUERTO;A CORUÑA;431825N;082219W;98
1387;8001;A CORUÑA;A CORUÑA;432157N;082517W;57
1393;8006;CABO VILÁN;A CORUÑA;430938N;091239W;50
1351;8004;ESTACA DE BARES;A CORUÑA;434710N;074106W;90
1400;8040;FISTERRA;A CORUÑA;425529N;091729W;230
1437O;8043;MONTE IROITE;A CORUÑA;424314N;085524W;685
1473A;8039;PADRÓN;A CORUÑA;424418N;083738W;100
1428;8042;SANTIAGO DE COMPOSTELA AEROPUERTO;A CORUÑA;425317N;082438W;370
1475X;8041;SANTIAGO DE COMPOSTELA;A CORUÑA;425234N;083321W;240
8175;8280;ALBACETE BASE AÉREA;ALBACETE;385715N;015123W;702
8178D;8279;ALBACETE;ALBACETE;390021N;015146W;674
8177A;8278;CHINCHILLA;ALBACETE;385609N;013936W;880
7096B;8355;HELLÍN;ALBACETE;383231N;014211W;605
8025;8359;ALACANT/ALICANTE;ALICANTE;382221N;002939W;81
8019;8360;ALICANTE-ELCHE AEROPUERTO;ALICANTE;381658N;003415W;43
8050X;8370;JÁVEA/ XÀBIA;ALICANTE;384701N;001004E;15
7247X;8357;EL PINÓS/PINOSO;ALICANTE;382359N;010217W;575
6302A;8427;ABLA;ALMERIA;370829N;024648W;869
6277B;8486;ADRA;ALMERIA;364450N;030114W;8
6381;8490;ALBORÁN;ALMERIA;355618N;030210W;15
6325O;8487;ALMERÍA AEROPUERTO;ALMERIA;365047N;022125W;21
6297;;ALMERÍA;ALMERIA;364952N;022720W;7
6332X;8488;CARBONERAS;ALMERIA;365849N;015413W;16
6367B;8428;HUÉRCAL-OVERA;ALMERIA;372326N;015637W;300
6293X;8492;ROQUETAS DE MAR;ALMERIA;364113N;024206W;3
9091O;8080;FORONDA-TXOKIZA;ARABA/ALAVA;425255N;024406W;513
9087;;VITORIA AERÓDROMO;ARABA/ALAVA;425059N;023922W;521
9091R;8080;VITORIA-GASTEIZ AEROPUERTO;ARABA/ALAVA;425219N;024358W;513
1212E;8011;ASTURIAS AEROPUERTO;ASTURIAS;433401N;060239W;127
1283U;8010;CABO BUSTO;ASTURIAS;433409N;062812W;60
1210X;8012;CABO PEÑAS;ASTURIAS;433921N;055055W;100
1331A;8009;CASTROPOL;ASTURIAS;433129N;070153W;40
1207U;8065;GIJÓN, CAMPUS;ASTURIAS;433123N;053716W;26
1208A;;GIJÓN. LA MERCED;ASTURIAS;433230N;053943W;22
1208H;8014;GIJÓN, PUERTO;ASTURIAS;433336N;054203W;5
1208;;GIJÓN;ASTURIAS;433220N;053815W;3
1183X;8016;LLANES;ASTURIAS;432513N;044453W;10
1249I;8015;OVIEDO;ASTURIAS;432112N;055227W;336
1249X;8015;OVIEDO;ASTURIAS;432112N;055227W;334
1542;8052;PUERTO DE LEITARIEGOS;ASTURIAS;425939N;062451W;1530
1221D;8031;PAJARES-VALGRANDE;ASTURIAS;425843N;054635W;1480
2444C;;ÁVILA, AYUNTAMIENTO;AVILA;403924N;044201W;1143
2444;8210;ÁVILA;AVILA;403933N;044047W;1130
2811A;8206;NAVARREDONDA DE GREDOS;AVILA;402102N;050835W;1525
3391;8208;SOTILLO DE LA ADRADA;AVILA;401719N;043527W;630
4452;8330;BADAJOZ AEROPUERTO;BADAJOZ;385300N;064850W;185
4358X;8333;DON BENITO;BADAJOZ;385720N;055250W;273
4244X;8264;HERRERA DEL DUQUE;BADAJOZ;391010N;050344W;447
4511C;8337;JEREZ DE LOS CABALLEROS;BADAJOZ;381755N;064554W;381
4386B;8336;LLERENA;BADAJOZ;381354N;060101W;655
4410X;8331;MÉRIDA;BADAJOZ;385457N;062308W;228
0252D;8186;ARENYS DE MAR;BARCELONA;413515N;023224E;74
76;8181;BARCELONA AEROPUERTO;BARCELONA;411734N;020412E;4
0200E;;BARCELONA, FABRA;BARCELONA;412506N;020727E;408
0201D;8180;BARCELONA, PORT OLÍMPIC;BARCELONA;412326N;021200E;26
0149X;8174;MANRESA;BARCELONA;414312N;015025E;291
0229I;8192;SABADELL AEROPUERTO;BARCELONA;413125N;020611E;146
0255B;8188;SANTA SUSANNA;BARCELONA;413903N;024149E;40
1082;8025;BILBAO AEROPUERTO;BIZKAIA;431753N;025423W;42
1078I;8035;GÜEÑES;BIZKAIA;431212N;030617W;208
1055B;8024;LEKEITIO;BIZKAIA;432237N;023037W;12
1057B;;MATXITXAKO;BIZKAIA;432714N;024510W;93
1059X;8059;PUNTA GALEA;BIZKAIA;432230N;030118W;90
2117D;8144;ARANDA DE DUERO;BURGOS;413957N;034434W;790
9111;8077;BELORADO;BURGOS;422516N;031013W;820
2331;8075;BURGOS AEROPUERTO;BURGOS;422125N;033717W;891
9051;8063;MEDINA DE POMAR;BURGOS;425512N;032858W;580
2298;8149;PALACIOS DE LA SIERRA;BURGOS;415735N;030754W;1080
3469;;CÁCERES, CIUDAD;CACERES;392833N;062235W;459
3469A;8261;CÁCERES;CACERES;392817N;062020W;394
3526X;8251;CORIA;CACERES;400013N;063327W;313
3434X;8254;NAVALMORAL DE LA MATA;CACERES;395645N;053457W;269
3519X;8252;PLASENCIA;CACERES;400235N;060509W;415
3463X;8263;TRUJILLO;CACERES;392857N;055115W;503
3576X;8260;VALENCIA DE ALCÁNTARA;CACERES;392453N;071352W;444
5973;8452;CÁDIZ;CADIZ;362959N;061528W;2
5911A;8455;GRAZALEMA;CADIZ;364538N;052227W;913
5960;8451;JEREZ DE LA FRONTERA AEROPUERTO;CADIZ;364502N;060321W;27
5910;8449;ROTA, BASE NAVAL;CADIZ;363820N;061957W;21
5972X;8453;SAN FERNANDO;CADIZ;362756N;061220W;28
6001;8458;TARIFA;CADIZ;360050N;053556W;32
5995B;8457;VEJER DE LA FRONTERA;CADIZ;361444N;055754W;186
1083L;8020;CASTRO URDIALES;CANTABRIA;432341N;031402W;45
9001D;8032;REINOSA;CANTABRIA;425931N;040938W;870
1159;8017;SAN VICENTE DE LA BARQUERA;CANTABRIA;432336N;042332W;38
1109;8021;SANTANDER AEROPUERTO;CANTABRIA;432526N;034932W;3
1110;;SANTANDER, CIUDAD;CANTABRIA;432754N;034908W;64
1111X;8023;SANTANDER;CANTABRIA;432928N;034802W;51
1111;8023;SANTANDER;CANTABRIA;432928N;034802W;52
9019B;8033;VALDERREDIBLE, POLIENTES   ;CANTABRIA;424823N;035602W;720
9563X;8237;CASTELLFORT;CASTELLON;402955N;001112W;1220
8500A;8286;CASTELLÓ - ALMASSORA;CASTELLON;395726N;000419W;43
8501;;CASTELLÓ DE LA PLANA;CASTELLON;395921N;000156W;23
8489X;8241;VILLAFRANCA DEL CID/VILLAFRANCA;CASTELLON;402600N;001521W;1131
8523X;8239;VINARÒS;CASTELLON;403315N;002547E;111
5000A;;CEUTA, MONTE HACHO;CEUTA;355344N;051732W;200
5000C;60320;CEUTA;CEUTA;355319N;052049W;87
4121C;;CIUDAD REAL, INSTITUTO;CIUDAD REAL;385916N;035545W;627
4121;8348;CIUDAD REAL;CIUDAD REAL;385921N;035513W;626
4220X;8271;PUEBLA DE DON RODRIGO;CIUDAD REAL;390501N;043719W;531
4103X;8276;TOMELLOSO;CIUDAD REAL;391009N;030027W;662
4147X;8351;VALDEPEÑAS;CIUDAD REAL;384502N;032329W;700
4148;8345;VISO DEL MARQUÉS;CIUDAD REAL;383105N;033400W;804
5402;8410;CÓRDOBA AEROPUERTO;CORDOBA;375056N;045048W;90
5427X;8412;DOÑA MENCÍA;CORDOBA;373322N;042114W;650
4267X;8335;HINOJOSA DEL DUQUE;CORDOBA;382955N;050716W;551
5390Y;8346;VILLANUEVA DE CÓRDOBA;CORDOBA;381959N;043632W;750
3044X;8230;CAÑIZARES;CUENCA;403149N;020900W;928
8096;8231;CUENCA;CUENCA;400402N;020755W;949
4090Y;8256;SAN CLEMENTE;CUENCA;392500N;022514W;728
3094B;8277;TARANCÓN;CUENCA;400041N;030117W;808
1024E;8027;DONOSTIA / SAN SEBASTIÁN, IGELDO;GIPUZKOA;431823N;020228W;250
1050J;8036;ELGOIBAR;GIPUZKOA;431234N;022448W;119
1014;8029;HONDARRIBIA, MALKARROA;GIPUZKOA;432125N;014732W;4
1014A;8029;DONOSTIA / SAN SEBASTIÁN AEROPUERTO;GIPUZKOA;432125N;014732W;4
1041A;8026;ZUMAIA;GIPUZKOA;431808N;021504W;28
1037Y;8037;ZUMARRAGA;GIPUZKOA;430448N;021903W;420
367;8184;GIRONA AEROPUERTO;GIRONA;415442N;024548E;143
0370B;;GIRONA, ANTIC INSTITUT;GIRONA;415848N;024931E;95
9585;8117;LA MOLINA;GIRONA;421957N;015622E;1699
0372C;8120;PORQUERES;GIRONA;420616N;024549E;157
0324A;8118;RIPOLL;GIRONA;421129N;021146E;675
5047E;8424;BAZA;GRANADA;373021N;024406W;785
5530E;8419;GRANADA AEROPUERTO;GRANADA;371125N;034723W;567
5514;8420;GRANADA BASE AÉREA;GRANADA;370814N;033753W;687
5051X;8423;HUÉSCAR;GRANADA;375141N;023910W;1100
5582A;8414;LOJA;GRANADA;370940N;040910W;760
6268X;8485;MOTRIL;GRANADA;364322N;033149W;12
3168C;8226;GUADALAJARA, EL SERRANILLO;GUADALAJARA;403933N;031024W;639
3168A;;GUADALAJARA, INSTITUTO;GUADALAJARA;403805N;031000W;685
3168D;8226;GUADALAJARA;GUADALAJARA;403749N;030900W;727
3013;8232;MOLINA DE ARAGÓN;GUADALAJARA;405030N;015244W;1062
3130C;8150;SIGÜENZA;GUADALAJARA;410511N;023705W;1005
4560Y;8380;ALAJAR;HUELVA;375207N;064030W;572
4549Y;8381;AYAMONTE;HUELVA;371141N;072342W;3
4642E;8383;HUELVA, RONDA ESTE;HUELVA;371642N;065442W;18
4605;;HUELVA;HUELVA;371524N;065659W;17
5860E;8384;MOGUER, EL ARENOSILLO;HUELVA;370553N;064417W;41
9208E;8095;ARAGÜÉS DEL PUERTO;HUESCA;424231N;004022W;1025
9784P;8103;BIELSA;HUESCA;423748N;001329E;992
9898;8094;HUESCA, AEROPUERTO;HUESCA;420504N;001932W;546
9201K;8091;JACA;HUESCA;423444N;003249W;823
9814A;8101;TORLA;HUESCA;423736N;000642W;1020
B569X;8311;CAPDEPERA;ILLES BALEARS;394300N;032841E;57
B013X;8304;ESCORCA, LLUC;ILLES BALEARS;394924N;025309E;490
B954;8373;IBIZA, AEROPUERTO;ILLES BALEARS;385235N;012304E;6
B893;8314;MENORCA, AEROPUERTO;ILLES BALEARS;395117N;041256E;91
B278;8306;PALMA DE MALLORCA, AEROPUERTO;ILLES BALEARS;393339N;024412E;8
B228;8301;PALMA, PUERTO;ILLES BALEARS;393319N;023731E;3
B346X;8310;PORRERES;ILLES BALEARS;393118N;030109E;120
B434X;8309;PORTOCOLOM  ;ILLES BALEARS;392452N;031618E;17
B691Y;8312;SA POBLA;ILLES BALEARS;394457N;030100E;40
B248;8303;SIERRA DE ALFABIA, BUNYOLA;ILLES BALEARS;394406N;024247E;1030
5298X;8347;ANDÚJAR;JAEN;380123N;040348W;202
5181D;8352;ARROYO DEL OJANCO;JAEN;381853N;025323W;580
5038X;8353;CAZORLA;JAEN;375457N;030014W;782
5270;;JAÉN, INSTITUTO;JAEN;374635N;034720W;510
5270B;8417;JAÉN;JAEN;374639N;034833W;580
5246;8350;SANTA ELENA;JAEN;382040N;033207W;770
5192;8354;VILLARRODRIGO;JAEN;382921N;023815W;862
9170;8084;LOGROÑO, AEROPUERTO;LA RIOJA;422708N;021952W;353
C249I;60035;FUERTEVENTURA AEROPUERTO;LAS PALMAS;282641N;135147W;25
C649I;60030;GRAN CANARIA AEROPUERTO;LAS PALMAS;275504N;152343W;24
C619I;60027;LA ALDEA DE SAN NICOLÁS;LAS PALMAS;280003N;154850W;10
C029O;60040;LANZAROTE AEROPUERTO;LAS PALMAS;285707N;133601W;14
C659M;60032;LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA;LAS PALMAS;280647N;152517W;15
C659H;60029;LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL;LAS PALMAS;280523N;152458W;55
C689E;60037;MASPALOMAS;LAS PALMAS;274409N;153545W;6
C629X;60036;MOGÁN, PUERTO;LAS PALMAS;274859N;154551W;10
C229J;60034;PÁJARA;LAS PALMAS;280257N;142129W;15
C839I;;TEGUISE;LAS PALMAS;291355N;133007W;10
2737E;8123;LAGUNAS DE SOMOZA;LEON;422239N;061148W;1020
2661B;8055;LEÓN AEROPUERTO;LEON;423558N;053837W;912
2661;8055;LEÓN, VIRGEN DEL CAMINO;LEON;423518N;053904W;912
1549;8053;PONFERRADA;LEON;423350N;063600W;532
2630X;8057;PUERTO DE SAN ISIDRO;LEON;430344N;052237W;1510
9619;8115;LA SEU D'URGELL;LLEIDA;422117N;012747E;677
9771;;LLEIDA, OBSERVATORIO;LLEIDA;413702N;003716E;199
9771C;8171;LLEIDA;LLEIDA;413734N;003553E;186
9990X;8107;NAUT ARAN, ARTIES ;LLEIDA;424201N;005237E;1161
9698U;8112;TALARN;LLEIDA;421219N;005155E;807
9720X;8173;TÀRREGA;LLEIDA;413902N;010858E;388
1505;8008;LUGO AEROPUERTO;LUGO;430641N;072727W;442
3100B;8229;ARANJUEZ;MADRID;400402N;033246W;540
3110C;8146;BUITRAGO DEL LOZOYA;MADRID;410025N;033649W;1030
3191E;8219;COLMENAR VIEJO;MADRID;404146N;034554W;1004
3200;8224;GETAFE;MADRID;401758N;034320W;620
3129;8221;MADRID AEROPUERTO;MADRID;402800N;033320W;609
3194U;8220;MADRID, CIUDAD UNIVERSITARIA;MADRID;402706N;034327W;664
3196;8223;MADRID, CUATRO VIENTOS;MADRID;402232N;034710W;690
3195;8222;MADRID, RETIRO;MADRID;402443N;034041W;667
3266A;8217;PUERTO ALTO DEL LEÓN;MADRID;404223N;040831W;1532
2462;8215;PUERTO DE NAVACERRADA;MADRID;404735N;040038W;1893
3338;8212;ROBLEDO DE CHAVELA;MADRID;402540N;041500W;763
3111D;8145;SOMOSIERRA;MADRID;410808N;033449W;1450
3175;8227;TORREJÓN DE ARDOZ;MADRID;402919N;032637W;607
6106X;8413;ANTEQUERA;MALAGA;370146N;044454W;408
6058I;8463;ESTEPONA;MALAGA;362501N;050918W;19
6084X;8480;FUENGIROLA;MALAGA;363219N;043706W;8
6155A;8482;MÁLAGA AEROPUERTO;MALAGA;363958N;042856W;6
6156X;8481;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;364304N;042854W;54
6172O;8479;MÁLAGA, PUERTO;MALAGA;364300N;042511W;25
6032B;8443;RONDA;MALAGA;364459N;051006W;766
6205X;8484;TORROX;MALAGA;364335N;035726W;3
6000A;60338;MELILLA;MELILLA;351635N;025723W;52
7002Y;8432;ÁGUILAS;MURCIA;372502N;013513W;26
7228;8429;ALCANTARILLA, BASE AÉREA;MURCIA;375728N;011343W;75
7119B;8365;CARAVACA DE LA CRUZ;MURCIA;380609N;015238W;643
7012C;8434;CARTAGENA;MURCIA;373604N;005916W;17
7145D;8363;CIEZA;MURCIA;381358N;012250W;265
7209;8426;LORCA;MURCIA;373917N;014114W;312
7178I;8430;MURCIA;MURCIA;380007N;011015W;62
7031;8433;SAN JAVIER AEROPUERTO;MURCIA;374720N;004812W;4
7031X;8433;SAN JAVIER AEROPUERTO;MURCIA;374642N;004821W;4
7275C;8356;YECLA;MURCIA;383606N;010935W;640
9263X;8089;ARANGUREN, ILUNDAIN  ;NAVARRA;424634N;013157W;572
9294E;8087;BARDENAS REALES, BASE AÉREA;NAVARRA;421155N;012831W;295
1002Y;8030;BAZTAN, IRURITA ;NAVARRA;430809N;013235W;183
9283X;8153;CADREITA;NAVARRA;421225N;014241W;268
9263D;8085;PAMPLONA, AEROPUERTO;NAVARRA;424637N;013900W;459
9262;;PAMPLONA;NAVARRA;424904N;013818W;450
1631E;8051;A POBRA DE TRIVES;OURENSE;422022N;071657W;840
1700X;8047;O CARBALLIÑO;OURENSE;422517N;080533W;400
1690B;;OURENSE,INSTITUTO;OURENSE;421956N;075152W;148
1690A;8048;OURENSE;OURENSE;421931N;075135W;146
1735X;8050;XINZO DE LIMIA;OURENSE;420445N;074401W;616
2400E;8072;AUTILLA DEL PINO;PALENCIA;415944N;043610W;874
2374X;8068;CARRIÓN DE LOS CONDES;PALENCIA;422103N;043702W;830
2235U;8058;CERVERA DE PISUERGA;PALENCIA;425214N;043112W;1140
2401;;PALENCIA, OBSERVATORIO;PALENCIA;420018N;043145W;750
1484;;PONTEVEDRA, INSTITUTO;PONTEVEDRA;422550N;083850W;19
1484C;8044;PONTEVEDRA;PONTEVEDRA;422618N;083657W;113
1495;8045;VIGO AEROPUERTO;PONTEVEDRA;421419N;083726W;255
2491C;8205;LA COVATILLA, ESTACIÓN DE ESQUÍ;SALAMANCA;402118N;054124W;1960
2946X;8195;SAELICES EL CHICO;SALAMANCA;403806N;063600W;680
2867;8202;SALAMANCA AEROPUERTO;SALAMANCA;405734N;052954W;790
2870;8201;SALAMANCA;SALAMANCA;405727N;053944W;775
2916A;8129;VITIGUDINO;SALAMANCA;410041N;062616W;769
2150H;8143;LA PINILLA, ESTACIÓN DE ESQUÍ;SEGOVIA;411131N;032831W;1798
2465A;;SEGOVIA, INSTITUTO;SEGOVIA;405648N;040657W;990
2465;8213;SEGOVIA;SEGOVIA;405643N;040735W;1008
5704B;8392;CAZALLA DE LA SIERRA;SEVILLA;375535N;054611W;550
5641X;8395;ÉCIJA;SEVILLA;373058N;050506W;130
5612B;8399;LA RODA DE ANDALUCÍA;SEVILLA;371140N;044612W;410
5796;8397;MORÓN DE LA FRONTERA;SEVILLA;370952N;053641W;87
5783;8391;SEVILLA AEROPUERTO;SEVILLA;372500N;055245W;34
2030;8148;SORIA;SORIA;414630N;022859W;1081
C439J;60018;GÜÍMAR;STA. CRUZ DE TENERIFE;281906N;162256W;115
C929I;60001;HIERRO AEROPUERTO;STA. CRUZ DE TENERIFE;274908N;175320W;32
C430E;60010;IZAÑA;STA. CRUZ DE TENERIFE;281832N;162958W;2369
C139E;60005;LA PALMA AEROPUERTO;STA. CRUZ DE TENERIFE;283759N;174518W;33
C459Z;60012;PUERTO DE LA CRUZ;STA. CRUZ DE TENERIFE;282505N;163253W;25
C329Z;60008;SAN SEBASTIÁN DE LA GOMERA;STA. CRUZ DE TENERIFE;280523N;170641W;15
C449C;60020;STA. CRUZ DE TENERIFE;STA. CRUZ DE TENERIFE;282748N;161519W;36
C129Z;60004;TAZACORTE;STA. CRUZ DE TENERIFE;283545N;175455W;62
C447A;60015;TENERIFE NORTE AEROPUERTO;STA. CRUZ DE TENERIFE;282839N;161946W;632
C429I;60025;TENERIFE SUR AEROPUERTO;STA. CRUZ DE TENERIFE;280249N;163340W;64
0016A;8175;REUS AEROPUERTO;TARRAGONA;410842N;010949E;71
9987P;8240;SANT JAUME D'ENVEJA;TARRAGONA;404157N;004836E;1
9981A;8238;ESTACIÓN DE TORTOSA (ROQUETES);TARRAGONA;404913N;002936E;50
0002I;8169;VANDELLÒS  ;TARRAGONA;405729N;005217E;32
9573X;8164;ALCAÑIZ;TERUEL;410329N;000830W;334
9381;;CALAMOCHA, AERÓDROMO;TERUEL;405154N;011818W;932
9381I;8233;CALAMOCHA;TERUEL;405534N;011736W;884
9569A;8166;CALANDA;TERUEL;405648N;001416W;466
8368U;8235;TERUEL;TERUEL;402102N;010727W;902
4067;8273;MADRIDEJOS;TOLEDO;392931N;033142W;690
4061X;8275;QUINTANAR DE LA ORDEN;TOLEDO;393550N;030254W;692
3298X;8270;SAN PABLO DE LOS MONTES;TOLEDO;393249N;042102W;917
3365A;8274;TALAVERA DE LA REINA;TOLEDO;395731N;045149W;372
3259;;TOLEDO, LORENZANA;TOLEDO;395134N;040132W;540
3260B;8272;TOLEDO;TOLEDO;395305N;040243W;513
8058X;8282;OLIVA;VALENCIA;385544N;000545W;5
8325X;8287;POLINYÀ DE XÚQUER;VALENCIA;391105N;002219W;12
8309X;8281;UTIEL;VALENCIA;393432N;011441W;758
8414A;8284;VALENCIA AEROPUERTO;VALENCIA;392906N;002829W;56
8416Y;8285;VALÈNCIA, VIVEROS;VALENCIA;392850N;002159W;11
8416;8285;VALÈNCIA;VALENCIA;392850N;002159W;11
8293X;8290;XÀTIVA;VALENCIA;390006N;003125W;88
2503X;8142;OLMEDO;VALLADOLID;411933N;044113W;740
2539;8140;VALLADOLID AEROPUERTO;VALLADOLID;414243N;045120W;846
2422;8141;VALLADOLID;VALLADOLID;413827N;044516W;734
2755X;8056;BENAVENTE;ZAMORA;420039N;054000W;715
2775X;8125;VILLARDECIERVOS;ZAMORA;415629N;061647W;850
2614;8130;ZAMORA;ZAMORA;413056N;054407W;656
9576C;8165;BUJARALOZ;ZARAGOZA;413121N;001028W;357
9394X;8156;CALATAYUD;ZARAGOZA;411952N;013843W;582
9390;8157;DAROCA;ZARAGOZA;410652N;012436W;779
9244X;8090;SOS DEL REY CATÓLICO;ZARAGOZA;422927N;011249W;626
9434;8160;ZARAGOZA, AEROPUERTO;ZARAGOZA;413938N;010015W;249
9434P;8159;ZARAGOZA, VALDESPARTERA;ZARAGOZA;413716N;005605W;258
B051A;8316;SÓLLER, PUERTO;ILLES BALEARS;394744N;024129E;5
B087X;;BANYALBUFAR;ILLES BALEARS;394121N;023046E;60
B103B;99103;ANDRATX - SANT ELM;ILLES BALEARS;393445N;022208E;52
B158X;;CALVIÀ, ES CAPDELLÀ;ILLES BALEARS;393305N;022759E;50
B236C;;PALMA, UNIVERSIDAD;ILLES BALEARS;393832N;023837E;95
B275E;8302;SON BONET, AEROPUERTO;ILLES BALEARS;393621N;024224E;49
B301;8308;LLUCMAJOR, CAP BLANC;ILLES BALEARS;392247N;024706E;113
B334X;;LLUCMAJOR;ILLES BALEARS;392944N;025330E;140
B341X;;PORRERES;ILLES BALEARS;393022N;030020E;149
B362X;;CAMPOS, CAN SION;ILLES BALEARS;392421N;030351E;40
B373X;;CAMPOS, SALINES LLEVANT;ILLES BALEARS;392104N;030043E;3
B398A;;CABRERA, PARQUE NACIONAL DE CABRERA;ILLES BALEARS;390808N;025612E;165
B410B;;SANTANYÍ;ILLES BALEARS;392024N;030845E;45
B496X;;SON SERVERA;ILLES BALEARS;393749N;032301E;25
B526X;;ARTÀ;ILLES BALEARS;394119N;032104E;110
B603X;;ARTÀ-COLÒNIA DE SANT PERE;ILLES BALEARS;394323N;031643E;99
B605X;;MURO, S'ALBUFERA;ILLES BALEARS;394748N;030617E;2
B614E;;MANACOR;ILLES BALEARS;393325N;031304E;95
B640X;;PETRA;ILLES BALEARS;393659N;030716E;95
B644B;;SINEU;ILLES BALEARS;393836N;030008E;120
